,title,population,visiting_status,datetime_of_data,full_address,bop_region,county,judicial_district,gender
34,FPC DULUTH,511,Not Suspended,2024-03-25 19:42:57 PDT,"4464 RALSTON DRIVE, DULUTH, MN 55811",North Central Region,SAINT LOUIS,Minnesota,Male
35,FCI EDGEFIELD,"2,023",Not Suspended,2024-03-25 19:43:12 PDT,"501 GARY HILL ROAD, EDGEFIELD, SC 29824",Southeast Region,Edgefield,South Carolina,Male
36,FCI EL RENO,"1,189",Not Suspended,2024-03-25 19:43:28 PDT,"4205 HIGHWAY 66 WEST, EL RENO, OK 73036",South Central Region,CANADIAN,Western Oklahoma,Male
37,FCI ELKTON,"1,840",Not Suspended,2024-03-25 19:43:43 PDT,"8730 SCROGGS ROAD, LISBON, OH 44432",Northeast Region,COLUMBIANA,Northern Ohio,Male
38,FCI ENGLEWOOD,890,Not Suspended,2024-03-25 19:43:59 PDT,"9595 WEST QUINCY AVENUE, LITTLETON, CO 80123",North Central Region,JEFFERSON,Colorado,Male
39,FCI ESTILL,65,Not Suspended,2024-03-25 19:44:14 PDT,"100 PRISON ROAD, ESTILL, SC 29918",Southeast Region,HAMPTON,South Carolina,Male
40,FCI FAIRTON,780,Not Suspended,2024-03-25 19:44:30 PDT,"655 FAIRTON-MILLVILLE ROAD, FAIRTON, NJ 08320",Northeast Region,Cumberland,New Jersey,Male
41,FCI FLORENCE,"1,198",Not Suspended,2024-03-25 19:44:45 PDT,"5880 HWY 67 SOUTH, FLORENCE, CO 81226",North Central Region,Fremont,Colorado,Male
42,USP FLORENCE ADMAX,327,Not Suspended,2024-03-25 19:45:01 PDT,"5880 HWY 67 SOUTH, FLORENCE, CO 81226",North Central Region,Fremont,Colorado,Male
43,USP FLORENCE - HIGH,893,Not Suspended,2024-03-25 19:45:17 PDT,"5880 HWY 67 S, FLORENCE, CO 81226",North Central Region,Fremont,Colorado,Male
44,FCI FORREST CITY MEDIUM,"1,673",Suspended,2024-03-25 19:45:32 PDT,"1400 DALE BUMPERS ROAD, FORREST CITY, AR 72335",South Central Region,SAINT FRANCIS,Eastern Arkansas,Male
45,FCI FORREST CITY LOW,"1,786",Not Suspended,2024-03-25 19:45:48 PDT,"1400 DALE BUMPERS ROAD, FORREST CITY, AR 72335",South Central Region,SAINT FRANCIS,Eastern Arkansas,Male
46,FCI FORT DIX,"3,917",Not Suspended,2024-03-25 19:46:03 PDT,"5756 HARTFORD &, JOINT BASE MDL, NJ 08640",Northeast Region,BURLINGTON,New Jersey,Male
47,FMC FORT WORTH,"1,492",Not Suspended,2024-03-25 19:46:19 PDT,"3150 HORTON ROAD, FORT WORTH, TX 76119",South Central Region,Tarrant,Northern Texas,Male
48,FCI GILMER,"1,600",Not Suspended,2024-03-25 19:46:34 PDT,"201 FCI LANE, GLENVILLE, WV 26351",Mid-Atlantic Region,GILMER,Northern West Virginia,Male
49,FCI GREENVILLE,"1,297",Not Suspended,2024-03-25 19:46:50 PDT,"100 U.S. HWY 40, GREENVILLE, IL 62246",North Central Region,Bond,Southern Illinois,Male and Female
50,MDC GUAYNABO,"1,136",Not Suspended,2024-03-25 19:47:05 PDT,"652 CARRETERA 28, GUAYNABO, PR 00965",Southeast Region,GUAYNABO,"Puerto Rico, U.S. Virgin Islands",Male and Female
51,FCI HAZELTON,"2,013",Not Suspended,2024-03-25 19:47:21 PDT,"1640 SKY VIEW DRIVE, BRUCETON MILLS, WV 26525",Mid-Atlantic Region,PRESTON,Northern District of West Virginia,Male and Female
52,USP HAZELTON,"1,394",Suspended,2024-03-25 19:47:36 PDT,"1640 SKY VIEW DRIVE, BRUCETON MILLS, WV 26525",Mid-Atlantic Region,PRESTON,Northern District of West Virginia,Male
53,FCI HERLONG,"1,391",Suspended,2024-03-25 19:47:52 PDT,"741-925 ACCESS ROAD A-25, HERLONG, CA 96113",Western Region,Lassen,Eastern California,Male
54,FDC HONOLULU,259,Not Suspended,2024-03-25 19:48:07 PDT,"351 ELLIOTT ST, HONOLULU, HI 96819",Western Region,Honolulu,Hawaii,Male and Female
55,FDC HOUSTON,706,Not Suspended,2024-03-25 19:48:23 PDT,"1200 TEXAS AVENUE, HOUSTON, TX 77002",South Central Region,Harris,Southern Texas,Male and Female
56,FCI JESUP,"1,672",Not Suspended,2024-03-25 19:48:38 PDT,"2600 HIGHWAY 301 SOUTH, JESUP, GA 31599",Southeast Region,,Southern Georgia,Male
57,FCI LA TUNA,660,Not Suspended,2024-03-25 19:48:54 PDT,"8500 DONIPHAN ROAD, ANTHONY, TX 79821",South Central Region,EL PASO,Western Texas,Male
58,USP LEAVENWORTH,"1,819",Suspended,2024-03-25 19:49:09 PDT,"1300 METROPOLITAN, LEAVENWORTH, KS 66048",North Central Region,Leavenworth,Kansas,Male
59,USP LEE,"1,368",Not Suspended,2024-03-25 19:49:25 PDT,"LEE COUNTY INDUSTRIAL PARK, PENNINGTON GAP, VA 24277",Mid-Atlantic Region,Lee,Western Virginia,Male
60,USP LEWISBURG,"1,043",Not Suspended,2024-03-25 19:49:40 PDT,"2400 ROBERT F. MILLER DRIVE, LEWISBURG, PA 17837",Northeast Region,UNION,Middle Pennsylvania,Male
61,FMC LEXINGTON,"1,224",Not Suspended,2024-03-25 19:49:56 PDT,"3301 LEESTOWN ROAD, LEXINGTON, KY 40511",Mid-Atlantic Region,Fayette,Eastern Kentucky,Male and Female
62,FCI LOMPOC,894,Not Suspended,2024-03-25 19:50:11 PDT,"3600 GUARD ROAD, LOMPOC, CA 93436",Western Region,SANTA BARBARA,Central California,Male
63,USP LOMPOC,"2,298",Not Suspended,2024-03-25 19:50:27 PDT,"3901 KLEIN BLVD, LOMPOC, CA 93436",Western Region,SANTA BARBARA,Central California,Male
64,FCI LORETTO,787,Not Suspended,2024-03-25 19:50:42 PDT,"772 SAINT JOSEPH ST., LORETTO, PA 15940",Northeast Region,CAMBRIA,Western Pennsylvania,Male
65,MDC LOS ANGELES,613,Not Suspended,2024-03-25 19:50:58 PDT,"535 N ALAMEDA STREET, LOS ANGELES, CA 90012",Western Region,Los Angeles,Central California,Male and Female
66,FCI MANCHESTER,"1,115",Suspended,2024-03-25 19:51:13 PDT,"805 FOX HOLLOW ROAD, MANCHESTER, KY 40962",Mid-Atlantic Region,Clay,Eastern Kentucky,Male
67,FCI MARIANNA,"1,224",Not Suspended,2024-03-25 19:51:30 PDT,"3625 FCI ROAD, MARIANNA, FL 32446",Southeast Region,Jackson,Northern Florida,Male and Female
68,USP MARION,"1,262",Not Suspended,2024-03-25 19:51:45 PDT,"4500 PRISON ROAD, MARION, IL 62959",North Central Region,Williamson,Southern Illinois,Male
69,USP MCCREARY,"1,500",Not Suspended,2024-03-25 19:52:01 PDT,"330 FEDERAL WAY, PINE KNOT, KY 42635",Mid-Atlantic Region,McCreary,Eastern Kentucky,Male
70,FCI MCDOWELL,"1,562",Not Suspended,2024-03-25 19:52:16 PDT,"101 FEDERAL DRIVE, WELCH, WV 24801",Mid-Atlantic Region,MCDOWELL,Southern West Virginia,Male
71,FCI MCKEAN,"1,091",Not Suspended,2024-03-25 19:52:32 PDT,"6975 ROUTE 59, LEWIS RUN, PA 16738",Northeast Region,MCKEAN,Western Pennsylvania,Male
72,FCI MEMPHIS,"1,066",Suspended,2024-03-25 19:52:47 PDT,"1101 JOHN A DENIE ROAD, MEMPHIS, TN 38134",Mid-Atlantic Region,SHELBY,Western Tennessee,Male
73,FCI MENDOTA,950,Not Suspended,2024-03-25 19:53:03 PDT,"33500 WEST CALIFORNIA AVENUE, MENDOTA, CA 93640",Western Region,FRESNO,Eastern District of California,Male
74,FCI MIAMI,"1,005",Not Suspended,2024-03-25 19:53:19 PDT,"15801 S.W. 137TH AVENUE, MIAMI, FL 33177",Southeast Region,Miami-Dade,Southern Florida,Male
75,FDC MIAMI,941,Not Suspended,2024-03-25 19:53:34 PDT,"33 NE 4TH STREET, MIAMI, FL 33132",Southeast Region,Miami-Dade,Southern Florida,Male and Female
76,FCI MILAN,"1,540",Not Suspended,2024-03-25 19:53:50 PDT,"4004 EAST ARKONA ROAD, MILAN, MI 48160",North Central Region,WASHTENAW,Eastern Michigan,Male
77,FPC MONTGOMERY,662,Not Suspended,2024-03-25 19:54:05 PDT,"MAXWELL AIR FORCE BASE, MONTGOMERY, AL 36112",Southeast Region,MONTGOMERY,Middle Alabama,Male
78,FCI MORGANTOWN,370,Not Suspended,2024-03-25 19:54:21 PDT,"446 GREENBAG ROAD, ROUTE 857, MORGANTOWN, WV 26501",Mid-Atlantic Region,Monongalia,Northern West Virginia,Male
79,MCC NEW YORK,0,Suspended,2024-03-25 19:54:36 PDT,"150 PARK ROW, NEW YORK, NY 10007",Northeast Region,New York,Southern New York,Male
80,FCI OAKDALE II,"1,122",Not Suspended,2024-03-25 19:54:52 PDT,"2105 EAST WHATLEY ROAD, OAKDALE, LA 71463",South Central Region,ALLEN,Western Louisiana,Male
81,FCI OAKDALE I,824,Not Suspended,2024-03-25 19:55:07 PDT,"1507 EAST WHATLEY ROAD, OAKDALE, LA 71463",South Central Region,ALLEN,Western Louisiana,Male
82,FTC OKLAHOMA CITY,"1,246",Not Suspended,2024-03-25 19:55:22 PDT,"7410 S. MACARTHUR BLVD, OKLAHOMA CITY, OK 73169",South Central Region,OKLAHOMA,Western Oklahoma,Male and Female
83,FCI OTISVILLE,"1,071",Suspended,2024-03-25 19:55:38 PDT,"TWO MILE DRIVE, OTISVILLE, NY 10963",Northeast Region,ORANGE,Southern New York,Male
84,FCI OXFORD,"1,066",Not Suspended,2024-03-25 19:55:53 PDT,"COUNTY ROAD G & ELK AVENUE, OXFORD, WI 53952",North Central Region,ADAMS,Western Wisconsin,Male
85,FCI PEKIN,"1,248",Not Suspended,2024-03-25 19:56:09 PDT,"2600 S. SECOND ST., PEKIN, IL 61554",North Central Region,TAZEWELL,Central Illinois,Male and Female
86,FPC PENSACOLA,428,Not Suspended,2024-03-25 19:56:24 PDT,"110 RABY AVE, PENSACOLA, FL 32509",Southeast Region,ESCAMBIA,Northern Florida,Male
87,FCI PETERSBURG MEDIUM,"1,700",Not Suspended,2024-03-25 19:56:40 PDT,"1060 RIVER ROAD, HOPEWELL, VA 23860",Mid-Atlantic Region,Hopewell City,Eastern Virginia,Male
88,FCI PETERSBURG LOW,667,Not Suspended,2024-03-25 19:56:55 PDT,"1100 RIVER ROAD, HOPEWELL, VA 23860",Mid-Atlantic Region,Hopewell City,Eastern Virginia,Male
89,FDC PHILADELPHIA,917,Not Suspended,2024-03-25 19:57:11 PDT,"700 ARCH STREET, PHILADELPHIA, PA 19106",Northeast Region,Philadelphia,Eastern Pennsylvania,Male and Female
90,FCI PHOENIX,"1,157",Not Suspended,2024-03-25 19:57:27 PDT,"37900 N 45TH AVE, PHOENIX, AZ 85086",Western Region,Maricopa,Arizona,Male and Female
91,FCI POLLOCK,"1,531",Not Suspended,2024-03-25 19:57:42 PDT,"1000 AIRBASE ROAD, POLLOCK, LA 71467",South Central Region,GRANT,Western Louisiana,Male
92,USP POLLOCK,"1,119",Not Suspended,2024-03-25 19:57:58 PDT,"1000 AIRBASE ROAD, POLLOCK, LA 71467",South Central Region,Grant,Western Louisiana,Male
93,FCI RAY BROOK,647,Not Suspended,2024-03-25 19:58:13 PDT,"128 RAY BROOK ROAD, RAY BROOK, NY 12977",Northeast Region,Essex,Northern New York,Male
94,FMC ROCHESTER,646,Not Suspended,2024-03-25 19:58:29 PDT,"2110 EAST CENTER STREET, ROCHESTER, MN 55904",North Central Region,OLMSTED,Minnesota,Male
95,FCI SAFFORD,666,Not Suspended,2024-03-25 19:58:44 PDT,"1529 WEST HIGHWAY 366, SAFFORD, AZ 85546",Western Region,Graham,Arizona,Male
96,MCC SAN DIEGO,623,Not Suspended,2024-03-25 19:59:00 PDT,"808 UNION STREET, SAN DIEGO, CA 92101",Western Region,San Diego,Southern California,Male and Female
97,FCI SANDSTONE,"1,132",Not Suspended,2024-03-25 19:59:16 PDT,"2300 COUNTY RD 29, SANDSTONE, MN 55072",North Central Region,Pine,Minnesota,Male
98,FCI SCHUYLKILL,"1,124",Suspended,2024-03-25 19:59:32 PDT,"INTERSTATE 81 & 901 W, MINERSVILLE, PA 17954",Northeast Region,SCHUYLKILL,Middle Pennsylvania,Male
99,FCI SEAGOVILLE,"1,698",Not Suspended,2024-03-25 19:59:47 PDT,"2113 NORTH HWY 175, SEAGOVILLE, TX 75159",South Central Region,Dallas,Northern Texas,Male
100,FDC SEATAC,774,Not Suspended,2024-03-25 20:00:03 PDT,"2425 SOUTH 200TH STREET, SEATTLE, WA 98198",Western Region,King,Western Washington,Male and Female
101,FCI SHERIDAN,"1,618",Not Suspended,2024-03-25 20:00:18 PDT,"27072 BALLSTON ROAD, SHERIDAN, OR 97378",Western Region,YAMHILL,Oregon,Male
102,MCFP SPRINGFIELD,969,Not Suspended,2024-03-25 20:00:34 PDT,"1900 W. SUNSHINE ST, SPRINGFIELD, MO 65807",North Central Region,GREENE,Western Missouri,Male
103,FCI TALLADEGA,"1,126",Not Suspended,2024-03-25 20:00:49 PDT,"565 EAST RENFROE ROAD, TALLADEGA, AL 35160",Southeast Region,Talladega,Northern Alabama,Male
104,FCI TALLAHASSEE,986,Not Suspended,2024-03-25 20:01:05 PDT,"501 CAPITAL CIRCLE, NE, TALLAHASSEE, FL 32301",Southeast Region,Leon,Northern Florida,Male and Female
105,FCI TERMINAL ISLAND,941,Not Suspended,2024-03-25 20:01:20 PDT,"1299 SEASIDE AVENUE, SAN PEDRO, CA 90731",Western Region,LOS ANGELES,Central California,Male
106,FCI TERRE HAUTE,"1,366",Not Suspended,2024-03-25 20:01:36 PDT,"4200 BUREAU ROAD NORTH, TERRE HAUTE, IN 47808",North Central Region,VIGO,Southern Indiana,Male
107,USP TERRE HAUTE,"1,214",Not Suspended,2024-03-25 20:01:51 PDT,"4700 BUREAU ROAD SOUTH, TERRE HAUTE, IN 47802",North Central Region,VIGO,Southern Indiana,Male
108,FCI TEXARKANA,"1,218",Not Suspended,2024-03-25 20:02:07 PDT,"4001 LEOPARD DRIVE, TEXARKANA, TX 75501",South Central Region,Bowie,Eastern Texas,Male
109,FCI THOMSON,"1,972",Not Suspended,2024-03-25 20:02:22 PDT,"1100 ONE MILE ROAD, THOMSON, IL 61285",North Central Region,CARROLL,Northern District of Illinois,Male
110,FCI THREE RIVERS,"1,285",Not Suspended,2024-03-25 20:02:38 PDT,"US HIGHWAY 72 WEST, THREE RIVERS, TX 78071",South Central Region,Live Oak,Southern Texas,Male
111,FCI TUCSON,350,Not Suspended,2024-03-25 20:02:53 PDT,"8901 S. WILMOT ROAD, TUCSON, AZ 85756",Western Region,PIMA,Arizona,Male and Female
112,USP TUCSON,"1,313",Not Suspended,2024-03-25 20:03:09 PDT,"9300 SOUTH WILMOT ROAD, TUCSON, AZ 85756",Western Region,PIMA,Arizona,Male
113,FCI VICTORVILLE MEDIUM I,"1,574",Suspended,2024-03-25 20:03:24 PDT,"13777 AIR EXPRESSWAY BLVD, VICTORVILLE, CA 92394",Western Region,SAN BERNARDINO,Central California,Male and Female
114,FCI VICTORVILLE MEDIUM II,"1,458",Not Suspended,2024-03-25 20:03:39 PDT,"13777 AIR EXPRESSWAY BLVD, VICTORVILLE, CA 92394",Western Region,SAN BERNARDINO,Central California,Male
115,USP VICTORVILLE,"1,248",Not Suspended,2024-03-25 20:03:55 PDT,"13777 AIR EXPRESSWAY BLVD, VICTORVILLE, CA 92394",Western Region,San Bernardino,Central California,Male
116,FCI WASECA,788,Not Suspended,2024-03-25 20:04:11 PDT,"1000 UNIVERSITY DR, SW, WASECA, MN 56093",North Central Region,Waseca,Minnesota,Female
117,FCI WILLIAMSBURG,"1,207",Not Suspended,2024-03-25 20:04:27 PDT,"8301 HIGHWAY 521, SALTERS, SC 29590",Southeast Region,Williamsburg,South Carolina,Male
118,FPC YANKTON,410,Not Suspended,2024-03-25 20:04:42 PDT,"1016 DOUGLAS AVENUE, YANKTON, SD 57078",North Central Region,Yankton,South Dakota,Male
119,FCI YAZOO CITY MEDIUM,"1,277",Not Suspended,2024-03-25 20:04:58 PDT,"2225 HALEY BARBOUR PARKWAY, YAZOO CITY, MS 39194",Southeast Region,YAZOO,Southern Mississippi,Male
120,FCI YAZOO CITY LOW,"1,364",Not Suspended,2024-03-25 20:05:13 PDT,"2225 HALEY BARBOUR PARKWAY, YAZOO CITY, MS 39194",Southeast Region,YAZOO,Southern Mississippi,Male
121,USP YAZOO CITY,"1,501",Not Suspended,2024-03-25 20:05:29 PDT,"2225 HALEY BARBOUR PKWY, YAZOO CITY, MS 39194",Southeast Region,YAZOO,Southern Mississippi,Male
122,FPC ALDERSON,705,Not Suspended,2024-02-03 19:22:39 PST,"GLEN RAY RD. BOX A, ALDERSON, WV 24910",Mid-Atlantic Region,GREENBRIER,Southern West Virginia,Female
123,FCI ALICEVILLE,"1,588",Not Suspended,2024-02-03 19:22:56 PST,"11070 HIGHWAY 14, ALICEVILLE, AL 35442",Southeast Region,PICKENS,Northern District of Alabama,Female
124,FCI ALLENWOOD LOW,999,Not Suspended,2024-02-03 19:23:12 PST,"RT 15,2 MILES N OF ALLENWOOD, ALLENWOOD, PA 17810",Northeast Region,UNION,Middle Pennsylvania,Male
125,FCI ALLENWOOD MEDIUM,"1,273",Suspended,2024-02-03 19:23:28 PST,"RT 15, 2 MI N OF ALLENWOOD, WHITE DEER, PA 17810",Northeast Region,Union,Middle Pennsylvania,Male
126,USP ALLENWOOD,284,Not Suspended,2024-02-03 19:23:44 PST,"RT 15,2 MILES N OF ALLENWOOD, ALLENWOOD, PA 17810",Northeast Region,Union,Middle Pennsylvania,Male
127,FCI ASHLAND,"1,303",Not Suspended,2024-02-03 19:24:00 PST,"ST. ROUTE 716, ASHLAND, KY 41105",Mid-Atlantic Region,BOYD,Eastern Kentucky,Male
128,USP ATLANTA,"1,672",Not Suspended,2024-02-03 19:24:15 PST,"601 MCDONOUGH BLVD SE, ATLANTA, GA 30315",Southeast Region,FULTON,Northern Georgia,Male
129,USP ATWATER,"1,189",Suspended,2024-02-03 19:24:31 PST,"1 FEDERAL WAY, ATWATER, CA 95301",Western Region,MERCED,Eastern California,Male
130,FCI BASTROP,"1,064",Not Suspended,2024-02-03 19:24:47 PST,"1341 HIGHWAY 95 NORTH, BASTROP, TX 78602",South Central Region,Bastrop,Western Texas,Male
131,FCI BEAUMONT LOW,"1,990",Not Suspended,2024-02-03 19:25:03 PST,"5560 KNAUTH ROAD, BEAUMONT, TX 77705",South Central Region,Jefferson,Eastern Texas,Male
132,FCI BEAUMONT MEDIUM,"1,639",Not Suspended,2024-02-03 19:25:18 PST,"5830 KNAUTH ROAD, BEAUMONT, TX 77705",South Central Region,Jefferson,Eastern Texas,Male
133,USP BEAUMONT,"1,142",Not Suspended,2024-02-03 19:25:34 PST,"6200 KNAUTH ROAD, BEAUMONT, TX 77705",South Central Region,Jefferson,Eastern Texas,Male
134,FCI BECKLEY,"1,669",Suspended,2024-02-03 19:25:50 PST,"1600 INDUSTRIAL ROAD, BEAVER, WV 25813",Mid-Atlantic Region,Raleigh,Southern West Virginia,Male
135,FCI BENNETTSVILLE,"1,666",Not Suspended,2024-02-03 19:26:05 PST,"696 MUCKERMAN ROAD, BENNETTSVILLE, SC 29512",Southeast Region,Marlboro,South Carolina,Male
136,FCI BERLIN,778,Not Suspended,2024-02-03 19:26:21 PST,"1 SUCCESS LOOP ROAD, BERLIN, NH 03570",Northeast Region,COOS COUNTY,District of New Hampshire,Male
137,USP BIG SANDY,"1,407",Not Suspended,2024-02-03 19:26:37 PST,"1197 AIRPORT ROAD, INEZ, KY 41224",Mid-Atlantic Region,Martin,Eastern Kentucky,Male
138,FCI BIG SPRING,"1,052",Not Suspended,2024-02-03 19:26:53 PST,"1900 SIMLER AVE, BIG SPRING, TX 79720",South Central Region,HOWARD,Northern Texas,Male
139,MDC BROOKLYN,"1,544",Not Suspended,2024-02-03 19:27:08 PST,"80 29TH STREET, BROOKLYN, NY 11232",Northeast Region,KINGS,Eastern New York,Male and Female
140,FPC BRYAN,692,Not Suspended,2024-02-03 19:27:24 PST,"1100 URSULINE AVENUE, BRYAN, TX 77803",South Central Region,BRAZOS,Southern Texas,Female
141,FCI BUTNER MEDIUM II,"1,404",Not Suspended,2024-02-03 19:27:40 PST,"OLD NC HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,GRANVILLE,Eastern North Carolina,Male
142,FCI BUTNER LOW,962,Not Suspended,2024-02-03 19:27:56 PST,"OLD NC HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,GRANVILLE,Eastern North Carolina,Male
143,FCI BUTNER MEDIUM I,877,Not Suspended,2024-02-03 19:28:11 PST,"OLD NC HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,GRANVILLE,Eastern North Carolina,Male
144,FMC BUTNER,846,Not Suspended,2024-02-03 19:28:27 PST,"OLD N. CAROLINA HWY 75, BUTNER, NC 27509",Mid-Atlantic Region,Granville,Eastern North Carolina,Male
145,USP CANAAN,"1,278",Suspended,2024-02-03 19:28:43 PST,"3057 ERIC J. WILLIAMS, WAYMART, PA 18472",Northeast Region,WAYNE,Middle Pennsylvania,Male
